title,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.print_headline,byline.original
The Attachment Diaries,"Drama, Mystery, Thriller, Horror",Spanish,Argentina,https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Attachment Diaries (Movie), rank: 2, major: N, name: persons, value: Diment, Valentin Javier, rank: 3, major: N",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",The Attachment Diaries,By Jeannette Catsoulis
You Can Live Forever,"Drama, Romance","French, English",Canada,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: You Can Live Forever (Movie), rank: 2, major: N, name: persons, value: Slutsky, Mark, rank: 3, major: N, name: persons, value: Watts, Sarah (Film Director), rank: 4, major: N, name: persons, value: ODriscoll, Anwen, rank: 5, major: N, name: persons, value: Laporte, June (Actor), rank: 6, major: N",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,You Can Live Forever,By Elisabeth Vincentelli
One True Loves,"Romance, Drama, Comedy",English,"Germany, United States of America",https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Bracey, Luke (1989- ), rank: 2, major: N, name: persons, value: Liu, Simu, rank: 3, major: N, name: persons, value: Reid, Taylor Jenkins, rank: 4, major: N, name: persons, value: Soo, Phillipa, rank: 5, major: N, name: persons, value: Fickman, Andy, rank: 6, major: N, name: creative_works, value: One True Loves (Movie), rank: 7, major: N",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,One True Loves,By Brandon Yu
The Lost Weekend: A Love Story,Documentary,English,United States of America,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: creative_works, value: The Lost Weekend: A Love Story (Movie), rank: 2, major: N, name: persons, value: Pang, May, rank: 3, major: N, name: persons, value: Lennon, John, rank: 4, major: N, name: persons, value: Ono, Yoko, rank: 5, major: N, name: persons, value: Brandstein, Eve, rank: 6, major: N, name: persons, value: Kaufman, Richard S (Filmmaker), rank: 7, major: N, name: persons, value: Samuels, Stuart (Filmmaker), rank: 8, major: N, name: subject, value: Content Type: Personal Profile, rank: 9, major: N, name: subject, value: Pop and Rock Music, rank: 10, major: N",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,The Lost Weekend:  A Love Story,By Glenn Kenny
Your Place or Mine,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Your Place or Mine (Movie), rank: 2, major: N, name: persons, value: Witherspoon, Reese, rank: 3, major: N, name: persons, value: Kutcher, Ashton, rank: 4, major: N, name: persons, value: McKenna, Aline Brosh, rank: 5, major: N",2023-02-10T00:00:05+0000,569,‘Your Place or Mine’ Review: Try Neither,They Have a Humdrum Kind of Love,By Amy Nicholson
Love in the Time of Fentanyl,Documentary,English,"Canada, United States of America",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Fentanyl, rank: 2, major: N, name: subject, value: Drug Abuse and Traffic, rank: 3, major: N, name: subject, value: Volunteers and Community Service, rank: 4, major: N, name: creative_works, value: Love in the Time of Fentanyl (Movie), rank: 5, major: N, name: persons, value: Askey, Colin, rank: 6, major: N, name: glocations, value: Vancouver (British Columbia), rank: 7, major: N, name: organizations, value: Overdose Prevention Society, rank: 8, major: N",2023-02-02T12:00:11+0000,306,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",Love in the Time Of Fentanyl,By Concepción de León
After Love,Drama,French,"Belgium, France",https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: After Love (2020) (Movie), rank: 2, major: N, name: persons, value: Khan, Aleem, rank: 3, major: N, name: persons, value: Scanlan, Joanna (1961- ), rank: 4, major: N",2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,After Love,By Beatrice Loayza
Alcarràs,Drama,Catalan,Spain,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Simon, Carla, rank: 2, major: N, name: creative_works, value: Alcarras (Movie), rank: 3, major: N",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,Alcarràs,By Devika Girish
The Sound of Christmas,"TV Movie, Drama",English,United States of America,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Ne-Yo, rank: 2, major: N, name: creative_works, value: The Sound of Christmas (Movie), rank: 3, major: N, name: persons, value: Mattison, Booker T, rank: 4, major: N, name: persons, value: McNeill, Serayah, rank: 5, major: N",2022-11-23T15:00:09+0000,277,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,The Sound  Of Christmas,By Concepción de León
The Inspection,Drama,"Arabic, Spanish, English",United States of America,https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Inspection (Movie), rank: 2, major: N, name: persons, value: Bratton, Elegance, rank: 3, major: N",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story","A Few Good Men, Some With Secrets",By A.O. Scott
Bones and All,"Drama, Horror, Romance",English,"Italy, United States of America",https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Bones and All (Movie), rank: 2, major: N, name: persons, value: Guadagnino, Luca, rank: 3, major: N, name: persons, value: Chalamet, Timothee (1995- ), rank: 4, major: N, name: persons, value: Russell, Taylor (1994- ), rank: 5, major: N",2022-11-17T12:00:06+0000,710,‘Bones and All’ Review: You Eat What You Are,"It’s Eat, Prey, Love on a Journey of Self-Discovery",By A.O. Scott
My Policeman,"Drama, Romance",English,"United Kingdom, United States of America",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: My Policeman (Movie), rank: 2, major: N, name: persons, value: Grandage, Michael, rank: 3, major: N",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",My Policeman,By Teo Bugbee
About Fate,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,"Thomas Mann’s beguiling performance drives this Emma Roberts vehicle, but the romantic comedy creaks under the weight of its coincidences.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: About Fate (Movie), rank: 2, major: N, name: persons, value: Vaysberg, Marius, rank: 3, major: N, name: persons, value: Mann, Thomas (1991- ), rank: 4, major: N, name: persons, value: Roberts, Emma (1991- ), rank: 5, major: N",2022-09-09T01:00:03+0000,289,‘About Fate’ Review: Love the One You’re With?,About Fate,By Lisa Kennedy
Waiting for Bojangles,"Drama, Comedy, Romance","French, English","France, United States of America",https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,"Set in Paris in the 1960s, the film tells the story of two irrepressible lovers, and their young son, whose tale turns tragic.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Bourdeaut, Olivier, rank: 2, major: N, name: creative_works, value: Waiting for Bojangles (Movie), rank: 3, major: N, name: persons, value: Roinsard, Regis, rank: 4, major: N",2022-09-01T11:00:06+0000,267,‘Waiting for Bojangles’ Review: Endless Love,Waiting for Bojangles,By Calum Marsh
I Love My Dad,Comedy,English,United States of America,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Oswalt, Patton, rank: 2, major: N, name: creative_works, value: I Love My Dad (Movie), rank: 3, major: N, name: persons, value: Morosini, James, rank: 4, major: N",2022-08-04T11:00:05+0000,418,‘I Love My Dad’ Review: A Father Catfishes His Son,A Father Catfishes His Son. We Just Wait for the Ick.,By Glenn Kenny
Alone Together,"Romance, Drama",English,United States of America,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,"Katie Holmes writes, directs and stars in this minor-key rom-com set in 2020.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Holmes, Katie, rank: 2, major: N, name: creative_works, value: Alone Together (Movie), rank: 3, major: N",2022-07-21T15:37:18+0000,254,‘Alone Together’ Review: Finding Love in a Pandemic Retreat,Alone Together,By Teo Bugbee
Thor: Love and Thunder,"Fantasy, Action, Comedy",English,United States of America,https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: organizations, value: Marvel Studios, rank: 2, major: N, name: persons, value: Bale, Christian, rank: 3, major: N, name: persons, value: Crowe, Russell, rank: 4, major: N, name: persons, value: Hemsworth, Chris, rank: 5, major: N, name: persons, value: Waititi, Taika, rank: 6, major: N, name: persons, value: Thompson, Tessa, rank: 7, major: N, name: persons, value: Portman, Natalie, rank: 8, major: N",2022-07-07T18:26:10+0000,942,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,"He’s Still a Norse God, But Also a Big Old Goof",By Manohla Dargis
Both Sides of the Blade,"Drama, Romance",French,France,https://www.nytimes.com/2022/07/07/movies/both-sides-of-the-blade-review.html,"In the latest film from Claire Denis, Juliette Binoche plays a Parisian radio journalist in a romantic quandary.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Denis, Claire, rank: 2, major: N, name: persons, value: Binoche, Juliette, rank: 3, major: N, name: persons, value: Lindon, Vincent, rank: 4, major: N, name: creative_works, value: Both Sides of the Blade (Movie), rank: 5, major: N",2022-07-07T11:00:07+0000,649,‘Both Sides of the Blade’ Review: Who Do You Love?,A Bliss Doomed To Be Doused,By A.O. Scott
Fire of Love,Documentary,"Spanish, French, English","Canada, United States of America",https://www.nytimes.com/2022/07/06/movies/fire-of-love-review.html,Sara Dosa’s new documentary chronicles the lives and deaths of the French scientists Katia and Maurice Krafft.,The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Volcanoes, rank: 2, major: N, name: creative_works, value: Fire of Love (Movie), rank: 3, major: N, name: subject, value: Content Type: Personal Profile, rank: 4, major: N, name: subject, value: Deaths (Fatalities), rank: 5, major: N, name: persons, value: Dosa, Sara, rank: 6, major: N, name: persons, value: Krafft, Maurice (1946-91), rank: 7, major: N, name: persons, value: Krafft, Katia (1942-91), rank: 8, major: N",2022-07-06T11:00:06+0000,609,‘Fire of Love’ Review: A Volcanic Romance,A Volcanic Romance Across Continents,By A.O. Scott
Stay Prayed Up,Documentary,,,https://www.nytimes.com/2022/06/16/movies/stay-prayed-up-review.html,"A new documentary about the gospel ensemble the Branchettes and its guiding light, Lena Mae Perry, is a plain-spoken tribute.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Gospel Music, rank: 2, major: N, name: creative_works, value: Stay Prayed Up (Movie), rank: 3, major: N, name: subject, value: Content Type: Personal Profile, rank: 4, major: N, name: persons, value: Perry, Lena Mae, rank: 5, major: N, name: organizations, value: Branchettes (Music Group), rank: 6, major: N, name: persons, value: Anderson, DL (Filmmaker), rank: 7, major: N, name: persons, value: Durning, Matthew, rank: 8, major: N",2022-06-16T11:00:08+0000,330,‘Stay Prayed Up’ Review: Spreading the Gospel of Love,Stay Prayed Up,By Glenn Kenny
Benediction,"Drama, History, War","German, English, French","United Kingdom, United States of America",https://www.nytimes.com/2022/06/02/movies/benediction-review.html,"Terence Davies’s latest film is a biography of Siegfried Sassoon, whose writing about World War I changed British literature.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Davies, Terence, rank: 2, major: N, name: creative_works, value: Benediction (Movie), rank: 3, major: N, name: persons, value: Lowden, Jack (1990- ), rank: 4, major: N, name: subject, value: Poetry and Poets, rank: 5, major: N, name: persons, value: Sassoon, Siegfried, rank: 6, major: N",2022-06-02T11:00:06+0000,883,"‘Benediction’ Review: A Poet’s Life, in Love and War","A Poet’s Life, In Love and War",By A.O. Scott
Dinner in America,"Comedy, Drama, Music, Romance",English,United States of America,https://www.nytimes.com/2022/05/26/movies/dinner-in-america-review.html,A rage-fueled rock singer on the run from the police meets and falls in love with a gullible young woman eager to escape her circumstances.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Rehmeier, Adam, rank: 2, major: N, name: creative_works, value: Dinner in America (Book), rank: 3, major: N",2022-05-26T11:00:04+0000,254,‘Dinner in America’ Review: A Punk-Rock Love Story,Dinner in America,By Concepción de León
In a New York Minute,Drama,English,,https://www.nytimes.com/2022/05/03/movies/in-a-new-york-minute-review.html,This drama from Ximan Li teases time in telling the stories of three Chinese women living in a city that tempts promise but delivers frustration.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: In A New York Minute (Movie), rank: 2, major: N, name: persons, value: Ximan Li, rank: 3, major: N",2022-05-03T21:05:25+0000,299,‘In a New York Minute’ Review: Love or Freedom?,In a New York Minute,By Lisa Kennedy
Anaïs in Love,"Drama, Romance, Comedy",French,France,https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,"A restless woman discovers herself in a seductive French romance that throws out the usual dusty script about women, desire and pleasure.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Bourgeois-Tacquet, Charline, rank: 2, major: N, name: creative_works, value: Anais in Love (Movie), rank: 3, major: N",2022-04-28T16:18:57+0000,842,‘Anaïs in Love’ Review: Portrait of a Woman on the Run,Portrait of a Restless Heart,By Manohla Dargis
I Love America,"Comedy, Romance",French,United States of America,https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Marceau, Sophie, rank: 2, major: N, name: creative_works, value: I Love America (Movie), rank: 3, major: N, name: persons, value: Azuelos, Lisa, rank: 4, major: N",2022-04-28T11:00:07+0000,291,‘I Love America’ Review: The Gauche Rituals of Modern Romance,I Love America,By Nicolas Rapold
Love After Love,Drama,Mandarin,China,https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: organizations, value: MUBI Inc, rank: 2, major: N, name: persons, value: Hui, Ann, rank: 3, major: N, name: persons, value: Peng, Eddie (1982- ), rank: 4, major: N, name: glocations, value: Hong Kong, rank: 5, major: N, name: creative_works, value: Love After Love (Movie), rank: 6, major: N",2022-03-17T11:00:12+0000,292,‘Love After Love’ Review: Elegance Without a Center,Love After Love,By Claire Shaffer
Lucy and Desi,Documentary,English,United States of America,https://www.nytimes.com/2022/03/03/movies/lucy-and-desi-review.html,"This documentary, directed by Amy Poehler and about the dynamic duo behind “I Love Lucy,” favors the good times over the difficult ones.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: persons, value: Ball, Lucille, rank: 2, major: N, name: persons, value: ARNAZ, DESI, rank: 3, major: N, name: persons, value: Poehler, Amy, rank: 4, major: N, name: creative_works, value: Lucy and Desi (Movie), rank: 5, major: N, name: subject, value: Television, rank: 6, major: N, name: subject, value: Actors and Actresses, rank: 7, major: N, name: subject, value: Content Type: Personal Profile, rank: 8, major: N",2022-03-03T16:06:54+0000,279,‘Lucy and Desi’ Review: Love in the Time of Television,Lucy and Desi,By Natalia Winkelman
"Cyrano, My Love","Comedy, History","French, Russian","Belgium, France",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Cyrano, My Love (Movie), rank: 2, major: N, name: persons, value: Michalik, Alexis, rank: 3, major: N",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance","Cyrano, My Love",By Jeannette Catsoulis
"Cyrano, My Love","Comedy, History","French, Russian","Belgium, France",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Cyrano, My Love (Movie), rank: 2, major: N, name: persons, value: Michalik, Alexis, rank: 3, major: N",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance","Cyrano, My Love",By Jeannette Catsoulis
The In Between,"Romance, Science Fiction, Drama",English,United States of America,https://www.nytimes.com/2022/02/11/movies/the-in-between-review.html,A teenage girl thinks that her dead boyfriend’s spirit is reaching out from the Great Beyond.,The New York Times,"name: persons, value: King, Joey, rank: 1, major: N, name: persons, value: Allen, Kyle (1994- ), rank: 2, major: N, name: subject, value: Movies, rank: 3, major: N, name: persons, value: Posin, Arie, rank: 4, major: N, name: creative_works, value: The In Between (Movie), rank: 5, major: N",2022-02-11T08:00:06+0000,285,‘The In Between’ Review: Love Never Dies,The In Between,By Lena Wilson
The Pink Cloud,"Drama, Science Fiction",Portuguese,Brazil,https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,Iuli Gerbase’s first feature film reflects a funhouse-mirror image of our present lives.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Pink Cloud (Movie), rank: 2, major: N, name: persons, value: Gerbase, Iuli, rank: 3, major: N",2022-01-13T12:00:05+0000,316,‘The Pink Cloud’ Review: Love in Lockdown,The Pink Cloud,By Claire Shaffer
A Journal for Jordan,"Drama, Romance",English,"Canada, United States of America",https://www.nytimes.com/2021/12/23/movies/a-journal-for-jordan-review.html,The actors Michael B. Jordan and Chanté Adams bring a compelling chemistry to the screen as opposites who fall for each other.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: A Journal for Jordan (Movie), rank: 2, major: N, name: persons, value: Washington, Denzel, rank: 3, major: N, name: persons, value: Jordan, Michael B, rank: 4, major: N, name: persons, value: Adams, Chante, rank: 5, major: N, name: subject, value: Books and Literature, rank: 6, major: N, name: creative_works, value: A Journal for Jordan: A Story of Love and Honor (Book), rank: 7, major: N, name: persons, value: Canedy, Dana, rank: 8, major: N, name: subject, value: Black People, rank: 9, major: N, name: subject, value: Blacks, rank: 10, major: N",2021-12-23T18:54:12+0000,505,‘A Journal for Jordan’ Review: Reflections on Love Built and Lost,Reflections on Love That’s Built and Lost,By Lisa Kennedy
West Side Story,"Drama, Romance, Crime","English, Spanish",United States of America,https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html,"Steven Spielberg rediscovers the breathing, troubling essence of a classic, building a bold and current screen musical with no pretense to perfection.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: subject, value: Theater, rank: 2, major: N, name: persons, value: Alvarez, David (1994- ), rank: 3, major: N, name: persons, value: Bernstein, Leonard, rank: 4, major: N, name: persons, value: DeBose, Ariana, rank: 5, major: N, name: persons, value: Kushner, Tony, rank: 6, major: N, name: persons, value: Laurents, Arthur, rank: 7, major: N, name: persons, value: Peck, Justin, rank: 8, major: N, name: persons, value: Robbins, Jerome, rank: 9, major: N, name: persons, value: Sondheim, Stephen, rank: 10, major: N, name: persons, value: Spielberg, Steven, rank: 11, major: N, name: persons, value: Tesori, Jeanine, rank: 12, major: N, name: glocations, value: New York City, rank: 13, major: N, name: creative_works, value: West Side Story (2021) (Movie), rank: 14, major: N",2021-12-08T14:55:30+0000,1316,"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight","Meeting a Girl Named Maria, Again",By A.O. Scott
Love Hard,"Comedy, Romance",English,United States of America,https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,"When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Love Hard (Movie), rank: 2, major: N, name: persons, value: Jimenez, Hernan, rank: 3, major: N",2021-11-05T07:01:03+0000,343,"‘Love Hard’ Review: Seeking Connection, Not Perfection",Love Hard,By Concepción de León
