title,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.print_headline,byline.original
Bergman Island,"Drama, Romance","German, English, Swedish","Belgium, France, Germany, Mexico, Sweden",https://www.nytimes.com/2021/10/14/movies/bergman-island-review.html,"In Mia Hansen-Love’s new film, Vicky Krieps and Tim Roth play filmmakers on the rocks in the Baltic Sea.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Bergman, Ingmar, rank: 2, major: N, name: persons, value: Roth, Tim, rank: 3, major: N, name: persons, value: Wasikowska, Mia, rank: 4, major: N, name: persons, value: Hansen-Love, Mia, rank: 5, major: N, name: creative_works, value: Bergman Island (Movie), rank: 6, major: N, name: persons, value: Krieps, Vicky, rank: 7, major: N",2021-10-14T16:00:06+0000,888,‘Bergman Island’ Review: Love Among the Cinephiles,Scenes From Not Quite a Marriage,By A.O. Scott
Hard Luck Love Song,"Romance, Music, Drama, Thriller","English, Spanish",United States of America,https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Dorman, Michael (1981- ), rank: 2, major: N, name: creative_works, value: Hard Luck Love Song (Movie), rank: 3, major: N, name: persons, value: Bush, Sophia (1982- ), rank: 4, major: N",2021-10-14T12:27:03+0000,320,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,Hard Luck Love Song,By Glenn Kenny
South of Heaven,"Crime, Drama, Thriller",English,"United Kingdom, United States of America",https://www.nytimes.com/2021/10/07/movies/south-of-heaven-review.html,Jason Sudeikis plays a paroled felon who vows to give his dying lover the best year of her life.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Sudeikis, Jason, rank: 2, major: N, name: persons, value: Lilly, Evangeline (1979- ), rank: 3, major: N, name: persons, value: Keshales, Aharon, rank: 4, major: N, name: creative_works, value: South of Heaven (Movie), rank: 5, major: N",2021-10-07T17:17:19+0000,323,‘South of Heaven’ Review: Anything for Love,South of Heaven,By Amy Nicholson
Wife of a Spy,"Drama, War, Thriller","English, Japanese",Japan,https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Kurosawa, Kiyoshi, rank: 2, major: N, name: creative_works, value: Wife of a Spy (Movie), rank: 3, major: N",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Marriage Amid Nationalism,By Glenn Kenny
Annette,"Drama, Romance","English, French","Belgium, France, Germany, Greece, Japan, Mexico, Switzerland",https://www.nytimes.com/2021/08/05/movies/annette-review.html,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Carax, Leos, rank: 2, major: N, name: persons, value: Cotillard, Marion, rank: 3, major: N, name: persons, value: Driver, Adam, rank: 4, major: N, name: persons, value: Mael, Ron, rank: 5, major: N, name: persons, value: Mael, Russell, rank: 6, major: N, name: creative_works, value: Annette (Movie), rank: 7, major: N, name: organizations, value: Sparks (Music Group), rank: 8, major: N",2021-08-05T11:00:07+0000,1069,‘Annette’ Review: Love Hurts,A Star Is Born. You Won’t Like Him.,By A.O. Scott
Resort to Love,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Milian, Christina, rank: 2, major: N, name: creative_works, value: Resort to Love (Movie), rank: 3, major: N, name: persons, value: Tsuchida, Steven, rank: 4, major: N",2021-07-29T11:00:07+0000,310,‘Resort to Love’ Review: A Struggling Singer in Paradise,"Her Ex Returns, With His Bride-to-Be",By Concepción de León
"Casanova, Last Love","Drama, Romance","English, French, German, Italian","Belgium, France, United States of America",https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,Benoît Jacquot’s erotic costume drama envisions the Italian playboy as a weathered sad sack living in exile.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Jacquot, Benoit, rank: 2, major: N, name: creative_works, value: Casanova, Last Love (Movie), rank: 3, major: N",2021-07-14T22:12:43+0000,312,"‘Casanova, Last Love’ Review: Reappraising a Philanderer","Casanova, Last Love",By Beatrice Loayza
Running Against the Wind,Drama,Amharic,"Ethiopia, Germany",https://www.nytimes.com/2021/07/08/movies/running-against-the-wind-review.html,Two childhood best friends reunite in this unfocused yet uplifting sports drama by the filmmaker Jan Philipp Weyl.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Running Against the Wind (Movie), rank: 2, major: N, name: persons, value: Weyl, Jan Philipp, rank: 3, major: N",2021-07-08T11:00:05+0000,342,‘Running Against the Wind’ Review: Love and Friendship in Addis Ababa,Running Against the Wind,By Beatrice Loayza
Undine,"Fantasy, Drama, Romance","English, German, Spanish","France, Germany",https://www.nytimes.com/2021/06/03/movies/undine-review.html,"Paula Beer and Franz Rogowski, who made an impression in 2019’s “Transit,” are reunited by the director Christian Petzold for this adaptation of a European myth.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Petzold, Christian, rank: 2, major: N, name: persons, value: Rogowski, Franz, rank: 3, major: N, name: creative_works, value: Undine (Movie), rank: 4, major: N, name: persons, value: Beer, Paula (1995- ), rank: 5, major: N",2021-06-03T11:00:08+0000,535,‘Undine’ Review: Love In and Out of the Water,She’s Like a Sprite Out of Water,By Glenn Kenny
Ride or Die,"Drama, Romance, Thriller","English, Japanese",Japan,https://www.nytimes.com/2021/04/15/movies/ride-or-die-review.html,"After upending her life, a woman runs away with her longtime crush in this puzzling Japanese drama.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Ride or Die (Movie), rank: 2, major: N, name: persons, value: Hiroki, Ryuichi, rank: 3, major: N",2021-04-15T11:00:03+0000,338,‘Ride or Die’ Review: Killing for Love,This Is Somehow a Love That’s Worth Killing For,By Natalia Winkelman
To All the Boys: Always and Forever,"Romance, Comedy, Drama","English, Korean",United States of America,https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Condor, Lana, rank: 2, major: N, name: persons, value: Fimognari, Michael, rank: 3, major: N, name: persons, value: Centineo, Noah, rank: 4, major: N, name: creative_works, value: To All the Boys: Always and Forever (Movie), rank: 5, major: N",2021-02-12T02:00:03+0000,482,‘To All the Boys: Always and Forever’ Review: Love Sweet Love,A Rom-Com Sequel That May Cause Cavities,By Maya Phillips
Young Hearts,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,"The brother and sister filmmakers Sarah Sherman and Zachary Ray Sherman deliver romance, unadorned.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Young Hearts (Movie), rank: 2, major: N, name: persons, value: Sherman, Sarah (Film Director), rank: 3, major: N, name: persons, value: Sherman, Zachary Ray (1984- ), rank: 4, major: N",2021-02-11T12:00:06+0000,324,‘Young Hearts’ Review: Movie Love by Algorithm,Young Hearts,By Kristen Yoonsoo Kim
Little Fish,"Romance, Science Fiction, Drama",English,"Canada, United States of America",https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,This sci-fi romance imagines a world with widespread memory loss through the eyes of one couple.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Little Fish (Movie), rank: 2, major: N, name: persons, value: Hartigan, Chad, rank: 3, major: N",2021-02-04T12:00:06+0000,315,‘Little Fish’ Review: Do You Remember Love?,Little Fish,By Kristen Yoonsoo Kim
Your Name Engraved Herein,"Romance, Drama","Mandarin, English","Taiwan, United States of America",https://www.nytimes.com/2020/12/24/movies/review-your-name-engraved-herein.html,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: glocations, value: Taiwan, rank: 2, major: N, name: persons, value: Liu, Patrick (Filmmaker), rank: 3, major: N, name: creative_works, value: Your Name Engraved Herein (Movie), rank: 4, major: N",2020-12-24T12:00:06+0000,295,‘Your Name Engraved Herein’ Review: When Love Is All You Can See,Your Name Engraved Herein,By Teo Bugbee
Museum Town,Documentary,English,United States of America,https://www.nytimes.com/2020/12/17/movies/museum-town-review.html,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Art, rank: 2, major: N, name: creative_works, value: Museum Town (Movie), rank: 3, major: N, name: persons, value: Trainer, Jennifer, rank: 4, major: N, name: organizations, value: Massachusetts Museum of Contemporary Art, rank: 5, major: N, name: subject, value: Museums, rank: 6, major: N, name: glocations, value: North Adams (Mass), rank: 7, major: N",2020-12-17T15:49:52+0000,280,‘Museum Town’ Review: A Love Letter to Mass MoCA,Museum Town,By Lovia Gyarkye
Wild Mountain Thyme,"Romance, Drama",English,"Ireland, United Kingdom",https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Shanley, John Patrick, rank: 2, major: N, name: persons, value: Blunt, Emily, rank: 3, major: N, name: persons, value: Dornan, Jamie, rank: 4, major: N, name: creative_works, value: Outside Mullingar (Play), rank: 5, major: N, name: creative_works, value: Wild Mountain Thyme (Movie), rank: 6, major: N",2020-12-10T12:00:04+0000,341,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,Wild Mountain Thyme,By Glenn Kenny
My Psychedelic Love Story,Documentary,English,United States of America,https://www.nytimes.com/2020/11/26/movies/my-psychedelic-love-story-review.html,"This Errol Morris documentary explores the relationship between the LSD guru and Joanna Harcourt-Smith, a woman who likened herself to Mata Hari.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: creative_works, value: My Psychedelic Love Story (Movie), rank: 2, major: N, name: persons, value: Harcourt-Smith, Joanna (1946-2020), rank: 3, major: N, name: persons, value: Morris, Errol, rank: 4, major: N, name: subject, value: LSD (Lysergic Acid Diethylamide), rank: 5, major: N, name: subject, value: Content Type: Personal Profile, rank: 6, major: N",2020-11-26T12:00:05+0000,599,‘My Psychedelic Love Story’ Review: On the Run With Timothy Leary,Acid and Romance: On the Run With Timothy Leary,By Glenn Kenny
69: The Saga of Danny Hernandez,"Music, Documentary",English,United States of America,https://www.nytimes.com/2020/11/17/movies/69-saga-of-danny-hernadez-review.html,The rise and fall of the provocative rapper Tekashi69 is chronicled in this Hulu documentary.,The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Rap and Hip-Hop, rank: 2, major: N, name: persons, value: Gandhi, Vikram, rank: 3, major: N, name: persons, value: 6ix9ine (Rapper), rank: 4, major: N, name: creative_works, value: 69: The Saga of Danny Hernandez (Movie), rank: 5, major: N",2020-11-17T19:07:20+0000,363,‘69: The Saga of Danny Hernandez’ Review: A SoundCloud-Rap Rat,"Loved in Hip-Hop, but Loathed in the End",By Calum Marsh
Ammonite,"Romance, Drama",English,United Kingdom,https://www.nytimes.com/2020/11/12/movies/ammonite-review.html,Kate Winslet’s fossil hunter and Saoirse Ronan’s convalescent embark on a forbidden seaside romance.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Ronan, Saoirse, rank: 2, major: N, name: persons, value: Winslet, Kate, rank: 3, major: N, name: persons, value: Lee, Francis (1969- ), rank: 4, major: N, name: creative_works, value: Ammonite (Movie), rank: 5, major: N",2020-11-12T12:00:04+0000,510,‘Ammonite’ Review: Love on the Rocks,Love on the Rocks,By Jeannette Catsoulis
Love and Monsters,"Comedy, Action, Adventure, Fantasy",English,United States of America,https://www.nytimes.com/2020/10/15/movies/love-and-monsters-review.html,The new sci-fi adventure from Michael Matthews lacks the self-seriousness of typical dystopian flicks but doesn’t completely lack depth.,The New York Times,"name: persons, value: Matthews, Michael (Film Director), rank: 1, major: N, name: subject, value: Movies, rank: 2, major: N, name: creative_works, value: Love and Monsters (Movie), rank: 3, major: N",2020-10-15T11:00:07+0000,284,‘Love and Monsters’ Review: Coming-of-Age After the Apocalypse,Love and Monsters,By Lovia Gyarkye
Dick Johnson Is Dead,Documentary,English,United States of America,https://www.nytimes.com/2020/10/01/movies/dick-johnson-is-dead-review.html,"With the help of her father, the documentary filmmaker Kirsten Johnson made a surprising, endearing movie about his death.",The New York Times,"name: creative_works, value: Dick Johnson Is Dead (Movie), rank: 1, major: N, name: subject, value: Documentary Films and Programs, rank: 2, major: N, name: persons, value: Johnson, Kirsten (1965- ), rank: 3, major: N, name: creative_works, value: Cameraperson (Movie), rank: 4, major: N, name: subject, value: Death and Dying, rank: 5, major: N",2020-10-01T11:00:08+0000,816,"‘Dick Johnson Is Dead’ Review: A Father’s Painful, Funny Goodbye",A Love Letter Delivered Along With a Death Notice,By Manohla Dargis
"Love, Guaranteed","Romance, Comedy",English,United States of America,https://www.nytimes.com/2020/09/03/movies/love-guaranteed-review-swiping-left-on-online-dating.html,Rachael Leigh Cook stars in this rom-com about a lawyer and her charming new client who wants to sue a dating website for falsely promising love.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Cook, Rachael Leigh, rank: 2, major: N, name: persons, value: Wayans, Damon Jr, rank: 3, major: N, name: persons, value: Johnson, Mark Steven, rank: 4, major: N, name: creative_works, value: Love, Guaranteed (Movie), rank: 5, major: N",2020-09-03T07:01:05+0000,343,"‘Love, Guaranteed’ Review: Swiping Left on Online Dating","Love, Guaranteed",By Natalia Winkelman
Feel the Beat,"Comedy, Music, Drama","English, Turkish","Canada, United States of America",https://www.nytimes.com/2020/06/19/movies/feel-the-beat-review.html,A prickly professional dancer becomes a reluctant instructor for a preteen dance troupe in this formulaic dramedy.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Carson, Sofia (1993- ), rank: 2, major: N, name: persons, value: Down, Elissa (1975- ), rank: 3, major: N, name: creative_works, value: Feel the Beat (Movie), rank: 4, major: N",2020-06-19T07:01:02+0000,253,‘Feel the Beat’ Review: Tough Love in the Dance Studio,A Young Troupe Needs Some Ballet Tough Love,By Natalia Winkelman
Babyteeth,"Drama, Comedy, Romance",English,Australia,https://www.nytimes.com/2020/06/18/movies/babyteeth-review.html,"Eliza Scanlen plays a seriously ill high schooler who falls for the wrong guy who turns out to have the right stuff, after all.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Babyteeth (Movie), rank: 2, major: N, name: persons, value: Murphy, Shannon (Film Director), rank: 3, major: N, name: persons, value: Scanlen, Eliza, rank: 4, major: N, name: persons, value: Wallace, Toby (1996- ), rank: 5, major: N",2020-06-18T16:31:36+0000,517,"‘Babyteeth’ Review: Love Means Never Having, Well, You Know","Love Means Never Having, Well, You Know",By Manohla Dargis
Spelling the Dream,Documentary,English,United States of America,https://www.nytimes.com/2020/06/03/movies/spelling-the-dream-review.html,"This Netflix documentary explores the unbroken Indian-American dominance of the U.S. national spelling bee, to less than winning results.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Scripps National Spelling Bee, rank: 2, major: N, name: persons, value: Rega, Sam, rank: 3, major: N, name: creative_works, value: Spelling the Dream (Movie), rank: 4, major: N, name: subject, value: Spelling, rank: 5, major: N, name: organizations, value: Netflix Inc, rank: 6, major: N",2020-06-03T12:44:10+0000,296,‘Spelling the Dream’ Review: Words of Inspiration,Love of Language Spells Success,By Bilal Qureshi
Love Wedding Repeat,"Comedy, Romance","English, Italian","United Kingdom, Italy",https://www.nytimes.com/2020/04/10/movies/love-wedding-repeat-review-a-tumble-down-the-aisle.html,A couple’s reception becomes a disaster (or does it?) in this comedy of multiple errors.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Love Wedding Repeat (Movie), rank: 2, major: N, name: persons, value: Craig, Dean (1974- ), rank: 3, major: N, name: persons, value: Claflin, Sam, rank: 4, major: N, name: persons, value: Munn, Olivia, rank: 5, major: N",2020-04-10T07:01:05+0000,414,‘Love Wedding Repeat’ Review: A Tumble Down the Aisle,Pratfalling Down The Aisle,By Amy Nicholson
Hope Gap,Drama,English,"United Kingdom, United States of America",https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Bening, Annette, rank: 2, major: N, name: persons, value: Nighy, Bill, rank: 3, major: N, name: persons, value: Nicholson, William (1948- ), rank: 4, major: N, name: creative_works, value: Hope Gap (Movie), rank: 5, major: N",2020-03-05T12:00:03+0000,257,‘Hope Gap’ Review: A Thin Line Between Love and War,Hope Gap,By Aisha Harris
All the Bright Places,"Romance, Drama",English,United States of America,https://www.nytimes.com/2020/02/28/movies/all-the-bright-places-review.html,Elle Fanning and Justice Smith breathe life into a film about mental illness and the healing power of love.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: All the Bright Places (Movie), rank: 2, major: N, name: persons, value: Haley, Brett, rank: 3, major: N, name: persons, value: Fanning, Elle, rank: 4, major: N, name: persons, value: Smith, Justice (1995- ), rank: 5, major: N, name: organizations, value: Netflix Inc, rank: 6, major: N",2020-02-28T08:01:07+0000,233,‘All the Bright Places’ Review: Love Amid Trauma,A Refreshing Exploration of Mental Illness,By Candice Frederick
The Photograph,"Drama, Romance",English,"Canada, United States of America",https://www.nytimes.com/2020/02/13/movies/the-photograph-review.html,Issa Rae and a terrific Lakeith Stanfield play a New York couple whose romance sends them and the story into the past.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: The Photograph (Movie), rank: 2, major: N, name: persons, value: Meghie, Stella, rank: 3, major: N, name: persons, value: Rae, Issa, rank: 4, major: N, name: persons, value: Stanfield, Lakeith, rank: 5, major: N",2020-02-13T20:54:33+0000,862,‘The Photograph’ Review: An Unabashedly Old-School Love Story,An Unabashedly Old-School Love Story,By Manohla Dargis
Ordinary Love,"Drama, Romance",English,"Ireland, United Kingdom",https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Ordinary Love (Movie), rank: 2, major: N, name: persons, value: Neeson, Liam, rank: 3, major: N, name: persons, value: Manville, Lesley, rank: 4, major: N, name: persons, value: DSa, Lisa Barros, rank: 5, major: N, name: persons, value: Leyburn, Glenn, rank: 6, major: N",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,Old-Sweater Lives,By A.O. Scott
To All the Boys: P.S. I Still Love You,"Romance, Comedy",English,United States of America,https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Condor, Lana, rank: 2, major: N, name: persons, value: Centineo, Noah, rank: 3, major: N, name: creative_works, value: To All the Boys: PS I Still Love You (Movie), rank: 4, major: N, name: persons, value: Fimognari, Michael, rank: 5, major: N",2020-02-11T18:33:41+0000,654,"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now","Follow Your Bliss While It Lasts, Kids",By Amy Nicholson
The Woman Who Loves Giraffes,Documentary,,"Canada, South Africa, United States of America",https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"name: subject, value: Documentary Films and Programs, rank: 1, major: N, name: subject, value: Giraffes, rank: 2, major: N, name: creative_works, value: The Woman Who Loves Giraffes (Movie), rank: 3, major: N, name: persons, value: Dagg, Anne Innis, rank: 4, major: N, name: persons, value: Reid, Alison (Filmmaker), rank: 5, major: N",2020-01-09T12:00:04+0000,279,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,A Special Spot  In Her Heart,By Jeannette Catsoulis
Marriage Story,Drama,English,United Kingdom,https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: persons, value: Baumbach, Noah, rank: 2, major: N, name: creative_works, value: Marriage Story (Movie), rank: 3, major: N, name: persons, value: Driver, Adam, rank: 4, major: N, name: persons, value: Johansson, Scarlett, rank: 5, major: N, name: persons, value: ALDA, ALAN, rank: 6, major: N, name: persons, value: Dern, Laura, rank: 7, major: N, name: persons, value: Liotta, Ray, rank: 8, major: N",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,"Friendly Split, Shattering Break",By A.O. Scott
Loro,Drama,Italian,"France, Italy",https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"name: subject, value: Movies, rank: 1, major: N, name: creative_works, value: Loro (Movie), rank: 2, major: N, name: persons, value: Servillo, Toni, rank: 3, major: N, name: persons, value: Sorrentino, Paolo, rank: 4, major: N, name: persons, value: Berlusconi, Silvio, rank: 5, major: N, name: glocations, value: Italy, rank: 6, major: N",2019-09-19T17:27:07+0000,820,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",Corruption and Charisma Personified,By A.O. Scott
